time,waist_pos,shoulder_pos,elbow_pos,forearm_roll_pos,wrist_angle_pos,wrist_rotate_pos
1.782207014411213636e+09,-1.027767136693000793e-01,-1.257864236831665039e+00,5.859806537628173828e-01,3.067961661145091057e-03,1.204174995422363281e+00,-8.743690699338912964e-02
1.782207014421207666e+09,-1.043106988072395325e-01,-1.257864236831665039e+00,5.859806537628173828e-01,3.067961661145091057e-03,1.191903114318847656e+00,-8.743690699338912964e-02
1.782207014431265593e+09,-1.027767136693000793e-01,-1.257864236831665039e+00,5.859806537628173828e-01,3.067961661145091057e-03,1.181165218353271484e+00,-8.743690699338912964e-02
1.782207014441293240e+09,-1.043106988072395325e-01,-1.257864236831665039e+00,5.859806537628173828e-01,3.067961661145091057e-03,1.171961307525634766e+00,-8.743690699338912964e-02
1.782207014451486349e+09,-1.058446764945983887e-01,-1.259398221969604492e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.164291501045227051e+00,-8.743690699338912964e-02
1.782207014461120605e+09,-1.058446764945983887e-01,-1.257864236831665039e+00,5.859806537628173828e-01,3.067961661145091057e-03,1.155087590217590332e+00,-8.743690699338912964e-02
1.782207014471390724e+09,-1.058446764945983887e-01,-1.259398221969604492e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.147417664527893066e+00,-8.743690699338912964e-02
1.782207014481346130e+09,-1.073786616325378418e-01,-1.259398221969604492e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.142815709114074707e+00,-8.743690699338912964e-02
1.782207014491254091e+09,-1.073786616325378418e-01,-1.259398221969604492e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.138213753700256348e+00,-8.743690699338912964e-02
1.782207014501173258e+09,-1.073786616325378418e-01,-1.259398221969604492e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.135145783424377441e+00,-8.743690699338912964e-02
1.782207014511514425e+09,-1.073786616325378418e-01,-1.259398221969604492e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.129009842872619629e+00,-8.743690699338912964e-02
1.782207014521159172e+09,-1.073786616325378418e-01,-1.259398221969604492e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.127475857734680176e+00,-8.743690699338912964e-02
1.782207014531416893e+09,-1.089126393198966980e-01,-1.260932207107543945e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.124408006668090820e+00,-8.743690699338912964e-02
1.782207014541187286e+09,-1.089126393198966980e-01,-1.262466192245483398e+00,5.875146389007568359e-01,3.067961661145091057e-03,1.119806051254272461e+00,-8.743690699338912964e-02
1.782207014551182508e+09,-1.089126393198966980e-01,-1.262466192245483398e+00,5.890486240386962891e-01,3.067961661145091057e-03,1.116738080978393555e+00,-8.897088468074798584e-02
